"","p_val","odds","extreme_WT","extreme_MU","rest_WT","rest_MU","gene","extreme","p_adj","p_adj_star"
"284",0.00615585121399233,5.49201039518991,3516,37,1044,2,"LPP","1",0.0201955118774836,"*"
"286",4.31247538033105e-18,4.69058341983901,3214,339,1023,23,"LRP1B","1",4.03216448060953e-16,"****"
"288",0.000334666698381724,7.29796749809362,3504,49,1044,2,"LZTR1","1",0.00206316503068293,"**"
"293",0.0173851770955128,7.40333042379878,3528,25,1045,1,"MAP2K1","1",0.0445346317378205,"*"
"295",0.00478789611798052,8.89652121802501,3523,30,1045,1,"MAP2K4","1",0.0167875607636692,"*"
"296",0.00159361576457585,4.0951608115411,3498,55,1042,4,"MAP3K1","1",0.00706911516187948,"**"
"297",0.000143623704846384,13.7033426472553,3507,46,1045,1,"MAP3K13","1",0.00111906803359474,"**"
"303",0.00140515783514637,2.55668015424936,3459,94,1035,11,"MED12","1",0.00646142250423866,"**"
"306",0.01831656745905,7.70162984732364,3527,26,1045,1,"MITF","1",0.0456693081978981,"*"
"308",0.000262958209986366,Inf,3520,33,1046,0,"MLH1","1",0.00167635858866308,"**"
"310",0.0101463269478919,3.41632780840963,3507,46,1042,4,"MLLT10","1",0.0304389808436757,"*"
"313",0.00478789611798052,8.89652121802501,3523,30,1045,1,"MLLT6","1",0.0167875607636692,"*"
"317",0.0101292109563822,4.05800814552267,3512,41,1043,3,"MSH6","1",0.0304389808436757,"*"
"319",0.00205112310458896,10.3939566040642,3518,35,1045,1,"MSN","1",0.00827827382499573,"**"
"329",0.000598459881977068,3.33111653002429,3475,78,1039,7,"MYH11","1",0.00335735993789135,"**"
"330",3.75420382097621e-12,Inf,3451,102,1046,0,"MYH9","1",2.34012038174184e-10,"****"
"331",0.0016129175413914,4.17080225905131,3497,56,1042,4,"MYO5A","1",0.00706911516187948,"**"
"334",0.00724523501533384,Inf,3532,21,1046,0,"NBN","1",0.0230941866113766,"*"
"335",6.06473399767223e-05,8.50882658223828,3496,57,1044,2,"NCOA1","1",0.000507808324282705,"***"
"336",5.72174543553802e-05,14.6095079314462,3504,49,1045,1,"NCOA2","1",0.000486348362020732,"***"
"338",7.139468795966e-07,6.02821675060983,3453,100,1041,5,"NCOR1","1",1.14435485558198e-05,"****"
"339",0.00143092008463679,4.96140532132036,3503,50,1043,3,"NCOR2","1",0.00647375941517128,"**"
"341",1.7491475771992e-07,5.69257659676143,3440,113,1040,6,"NF1","1",3.77959815686683e-06,"****"
"342",0.0173851770955128,7.40333042379878,3528,25,1045,1,"NF2","1",0.0445346317378205,"*"
"343",6.03538888906887e-06,17.3373355280299,3495,58,1045,1,"NFATC2","1",7.69512083356281e-05,"****"
"344",1.75168542029479e-07,3.82392462836611,3402,151,1034,12,"NFE2L2","1",3.77959815686683e-06,"****"
"348",1.42027586908635e-07,12.6367017671087,3469,84,1044,2,"NIN","1",3.43271426974293e-06,"****"
"351",3.04725328066246e-09,7.46431063512831,3430,123,1041,5,"NOTCH1","1",1.31500699265511e-07,"****"
"352",4.49703504196757e-05,4.35001596274758,3466,87,1040,6,"NOTCH2","1",0.000400450263260922,"***"
"357",2.46476056501888e-05,3.83431452057747,3451,102,1038,8,"NSD1","1",0.0002246921735808,"***"
